"","data","ano","mes","tipo","descrição","valor"
"1001",2016-04-26,"2016","Apr","fast food","pastelaria naito",30
"1002",2016-04-26,"2016","Apr","alimentação","sacolao saude st",67.51
"1003",2016-04-26,"2016","Apr","saúde","corpo e vida",89
"1004",2016-04-26,"2016","Apr","alimentação","sup cent st andre 2800",55.68
"1005",2016-04-26,"2016","Apr","transporte","carrefour 409 psc",171.32
"1006",2016-04-26,"2016","Apr","alimentação","coop capuava",28.56
"1007",2016-04-26,"2016","Apr","lazer","bruti s cafe",16
"1008",2016-04-26,"2016","Apr","alimentação","coop capu",25.56
"1009",2016-04-26,"2016","Apr","alimentação","hitamax minimercado",9.38
"1010",2016-04-26,"2016","Apr","alimentação","sacolao saude st",55.97
"1011",2016-04-26,"2016","Apr","alimentação","hitamax",10.24
"1012",2016-04-26,"2016","Apr","transporte","carrefour 409 psc",173.48
"1013",2016-04-26,"2016","Apr","lazer","ferraz grill",16.04
"1014",2016-04-26,"2016","Apr","alimentação","sacolao saude st",68.51
"1015",2016-04-26,"2016","Apr","equipamentos","mercpago[mlivre",218.21
"1016",2016-04-26,"2016","Apr","alimentação","hitamax minimercado",27.8
"1017",2016-04-26,"2016","Apr","alimentação","hitamax",10.28
"1018",2016-04-26,"2016","Apr","alimentação","feira ",64
"1019",2016-04-26,"2016","Apr","alimentação","ferraz grill",18.9
"1020",2016-04-26,"2016","Apr","transporte","carrefour pso 409",166.98
"1021",2016-04-26,"2016","Apr","equipamentos","carrefour sto 248",100.36
"1022",2016-04-26,"2016","Apr","pagamentos","saque ",60
"1023",2016-04-26,"2016","Apr","pagamentos","taxa banco do brasil ",15
"1024",2016-04-27,"2016","Apr","beleza","cabelo ",30
"1025",2016-04-27,"2016","Apr","seguros","mafre",260
"1026",2016-04-30,"2016","Apr","moradia","conta água",62
"1027",2016-04-30,"2016","Apr","pet","boneco ",20
"1028",2016-05-04,"2016","May","equipamentos","climatizador",67
