Status,Ano,Date,Description,CATEGORY,Amount,Cartao
,2016,26 September 2016,Galaxy s6 (1/10),EQUIPAMENTOS,199.90,
,2016,26 September 2016,FERRAGENS MARUKAI LTDA,EQUIPAMENTOS,24.30,
,2016,26 September 2016,MC CAFE-ARICANDUV,FAST FOOD,7.00,
,2016,26 September 2016,EXTRA 1309-ARICAN,ALIMENTAÇÃO,45.41,
,2016,26 September 2016,PASTELARIA NAITO,FAST FOOD,21.50,
,2016,26 September 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,58.65,
,2016,26 September 2016,PET SHOP DR HATO,PET,70.70,
,2016,26 September 2016,CARREFOUR PSO 409,TRANSPORTE,102.49,
,2016,26 September 2016,CARREFOUR STO 248,ALIMENTAÇÃO,47.64,
,2016,26 September 2016,ESPIGA LANCHES,FAST FOOD,16.00,
,2016,26 September 2016,COOP CAPUAVA,ALIMENTAÇÃO,34.61,
,2016,26 September 2016,Gasolina,TRANSPORTE,32.00,
,2016,26 September 2016,PET SHOP KAKAZU,PET,22.75,
,2016,26 September 2016,ESPIGA LANCHES,FAST FOOD,18.50,
,2016,26 September 2016,PAO DO MARQUES,FAST FOOD,25.40,
,2016,26 September 2016,A P IRMAOS BATIST,TRANSPORTE,33.99,
,2016,26 September 2016,CARREFOUR PSO 409,TRANSPORTE,91.62,
,2016,26 September 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,126.10,
,2016,26 September 2016,COOP CAPUAVA,SAÚDE,93.59,
