"Status","Date","Description","Category","Account","Amount",""
"","25 January 2017","SOROCABA","Alimentação","","$10.08",""
"","25 January 2017","HITAMAX","Alimentação","","$11.01",""
"","25 January 2017","SAGRADO CORACAO","Alimentação","","$16.45",""
"","25 January 2017","RODRISABOR SORVET","fast food","","$12.00",""
"","25 January 2017","EXTRA 1338","Alimentação","","$88.19",""
"","25 January 2017","FAM FARMA NACOES","Saúde","","$21.38",""
"","25 January 2017","MARIA AUX","Alimentação","","$8.68",""
"","25 January 2017","CAPRICHO","Alimentação","","$8.00",""
"","25 January 2017","CARREFOUR PSO 409","Transporte","","$108.87",""
"","25 January 2017","CARREFOUR STO 248","Alimentação","","$156.10",""
"","25 January 2017","SACOLAO SAUDE ST","Alimentação","","$102.59",""
"","25 January 2017","LUIS FERNANDO FER","fast food","","$23.90",""
"","25 January 2017","FERRAGENS MARUKA (1/2)","Equipamentos","","$52.98",""
"","25 January 2017","CARVAO E GELO","Alimentação","","$12.00",""
"","25 January 2017","COOP CAPUAVA","Alimentação","","$83.49",""
"","25 January 2017","DROGARIA","Saúde","","$9.00",""
"","25 January 2017","HITAMAX","Alimentação","","$11.00",""
"","25 January 2017","KARTEX DESCARTAVEIS","Alimentação","","$34.49",""
"","25 January 2017","GOOGLE PLAY*THE OLIVE","Alimentação","","$2.80",""
"","25 January 2017","MONIGAS COM GAS LTDA","Alimentação","","$60.00",""
"","24 January 2017","Realizada transferencia entre contas no","Lazer","","$40.00",""
"","23 January 2017","HITAMAX M","Alimentação","","$7.78",""
"","21 January 2017","luz","Moradia","","$120.00",""
"","20 January 2017","Faxina","Moradia","","$200.00",""
"","18 January 2017","Saque","Pagamentos","","$80.00",""
"","18 January 2017","Saque","Pagamentos","","$20.00",""
"","18 January 2017","Gasolina","Transporte","","$50.00",""
"","16 January 2017","vigia","Moradia","","$45.00",""
"","14 January 2017","PADARIA P","Alimentação","","$6.80",""
"","13 January 2017","PASTELARI","fast food","","$5.00",""
"","13 January 2017","SACOLAO SAUDE ST","Alimentação","","$165.95",""
"","12 January 2017","MARIA AUXILIADORA","Alimentação","","$25.90",""
"","12 January 2017","PIZZARIA BRASITAL","Alimentação","","$33.00",""
"","12 January 2017","PADARIA STOALBERTO","Alimentação","","$13.00",""
"","12 January 2017","AUTO POSTO ESTONI","Transporte","","$50.00",""
"","12 January 2017","FERRAGENS MARUKAI LTDA","Educação","","$34.90",""
"","11 January 2017","MONIGAS COM GAS LTDA","Alimentação","","$60.00",""
"","11 January 2017","FAM FARMA NACOES","Alimentação","","$17.12",""
"","11 January 2017","PADARIA P","Alimentação","","$6.45",""
"","08 January 2017","seguro fiesta","Corolla","","$132.00",""
"","05 January 2017","Licenciamento carro","Corolla","","$421.64",""
"","04 January 2017","PAGSEGURO","Alimentação","","$10.00",""
"","04 January 2017","COOP CAPUAVA","Alimentação","","$76.02",""
